settlement_id,settlement_code,settlement_name,adm2_code,longitude,latitude,pashtun_greg,pashtun_ethno
1,AF0101_V_0001,3 Rahi Khaja Boghra,AF0101,69.1595570691327,34.5817290340545,1.0,1.0
2,AF0101_V_0003,Afshar Silo,AF0101,69.1147802962712,34.525166415342,1.0,1.0
3,AF0101_V_0004,Afshari Bala,AF0101,69.0869,34.5366,1.0,1.0
4,AF0101_V_0007,Afsotar,AF0101,69.1168682840657,34.5679973283843,1.0,1.0
5,AF0101_V_0011,Alawuddini Payin (karta-i-se),AF0101,69.1329,34.4914,1.0,1.0
6,AF0101_V_0013,Aliabad,AF0101,69.123,34.5193,1.0,1.0
7,AF0101_V_0014,Aqa Alishams,AF0101,69.155,34.4817,1.0,1.0
8,AF0101_V_0015,Aqab Jakshan Barq,AF0101,69.1665940183993,34.5675389254964,1.0,1.0
9,AF0101_V_0016,Aqab Silo Markaz,AF0101,69.1247394922431,34.523528822362,1.0,1.0
10,AF0101_V_0017,Aqabi guzar baristan,AF0101,69.1444711032638,34.5340603600678,1.0,1.0
11,AF0101_V_0018,Asya-i-bini,AF0101,69.0464,34.5072,1.0,1.0
12,AF0101_V_0019,Ayoub Khan Mina Hesa Awal,AF0101,69.1432486520033,34.4839993721158,1.0,1.0
13,AF0101_V_0026,Baghrayees,AF0101,69.1576899520641,34.4938467942435,1.0,1.0
14,AF0101_V_0027,Baharistan,AF0101,69.1441190705088,34.5324565355082,1.0,1.0
15,AF0101_V_0028,Bala Kohe Molabezorg,AF0101,69.1604704481622,34.4974976262495,1.0,1.0
16,AF0101_V_0029,Bala Kohe Qurta,AF0101,69.17318259,34.51294951,1.0,1.0
17,AF0101_V_0030,Bala Kohi Afshar,AF0101,69.0843309035652,34.5403570271182,1.0,1.0
18,AF0101_V_0031,Bala kuh qoul ab Chakan,AF0101,69.161493982147,34.5248724386041,1.0,1.0
19,AF0101_V_0032,Balayi Qabristani 500 Family,AF0101,69.1483536520679,34.5908379626028,1.0,1.0
20,AF0101_V_0040,Block Hai Sharwali,AF0101,69.1233604326166,34.5548831524992,1.0,1.0
21,AF0101_V_0041,Block Hai Tahya Maskan,AF0101,69.1272891759778,34.553773869183,1.0,1.0
22,AF0101_V_0043,Brishnakot,AF0101,69.1597650034999,34.4993170473045,1.0,1.0
23,AF0101_V_0045,Chahar Qala,AF0101,69.1696494602924,34.5562626091973,1.0,1.0
24,AF0101_V_0046,Chahar Qala Chahar Dehi,AF0101,69.1041,34.4858,1.0,1.0
25,AF0101_V_0047,Chahar Qulba,AF0101,69.13412356,34.45859909,1.0,1.0
26,AF0101_V_0054,Dash Ha & 12 Emam,AF0101,69.1220741375304,34.4997504486512,1.0,1.0
27,AF0101_V_0058,Dewanbegi,AF0101,69.1011994746538,34.515305753886,1.0,1.0
28,AF0101_V_0060,Dih Dana,AF0101,69.1167,34.4658,1.0,1.0
29,AF0101_V_0063,Dih Mazang,AF0101,69.1528,34.5121,1.0,1.0
30,AF0101_V_0064,Dih Murad Khan,AF0101,69.1485,34.4827,1.0,1.0
31,AF0101_V_0065,Dih Naw Dehbory,AF0101,69.1250395076864,34.5136092893297,1.0,1.0
32,AF0101_V_0066,Dih Qabil,AF0101,69.099,34.5032,1.0,1.0
33,AF0101_V_0070,Faizabad 500 Family,AF0101,69.1470818504491,34.5908756827074,1.0,1.0
34,AF0101_V_0071,Family Reshkhor,AF0101,69.1308562226892,34.4693788636173,1.0,1.0
35,AF0101_V_0074,Gozar Sarai Shamali,AF0101,69.1256391037403,34.5612202529949,1.0,1.0
36,AF0101_V_0076,Gulai Hesa Awal,AF0101,69.1229827698483,34.5726132912554,1.0,1.0
37,AF0101_V_0077,Gulayi Khwaja Bughra,AF0101,69.1562845526449,34.5777579471493,1.0,1.0
38,AF0101_V_0078,Gulkhana,AF0101,69.1082,34.4969,1.0,1.0
39,AF0101_V_0081,Guzar Kharabad,AF0101,69.17144603,34.51294299,1.0,1.0
40,AF0101_V_0083,Guzare Mula Buzurg Wasel Abad,AF0101,69.1606,34.492,1.0,1.0
41,AF0101_V_0084,Guzare Tanikot,AF0101,69.1617680046173,34.4610051048543,1.0,1.0
42,AF0101_V_0085,Guzari Aqibe Takhnikom,AF0101,69.1584593324231,34.4611811220281,1.0,1.0
43,AF0101_V_0088,Hayat Abad,AF0101,69.225373,34.532882,1.0,1.0
44,AF0101_V_0090,Hazara-i-baghal,AF0101,69.1159,34.5883,1.0,1.0
45,AF0101_V_0091,Hese 2 Musahi,AF0101,69.1572754107495,34.4802785667246,1.0,1.0
46,AF0101_V_0092,Hese 2 Zakrin,AF0101,69.0811611205001,34.5793043857267,1.0,1.0
47,AF0101_V_0093,Hese Awale Chihilseton,AF0101,69.1615703123321,34.4654838212066,1.0,1.0
48,AF0101_V_0094,Hesi Awal Qala Hashmat Khan,AF0101,69.18581948,34.49191208,1.0,1.0
49,AF0101_V_0095,Hesi Dowome Chehilsiton,AF0101,69.1557927691179,34.4661409204863,1.0,1.0
50,AF0101_V_0098,Hise Dowom Qala Fatooh,AF0101,69.14293605,34.43638493,1.0,1.0
